Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pemrakarsa,,,,2022-08-17 23:27:02,2022-08-17 23:28:50,1m - 47.890s,FAILED
,,,,,,,
Test Cases/00. Login,,,,2022-08-17 23:27:03,2022-08-17 23:28:17,1m - 14.474s,FAILED
try,,,,2022-08-17 23:27:04,2022-08-17 23:27:33,28.384s,PASSED
"callTestCase(findTestCase(""Test Cases/Create User Tester""), [:], STOP_ON_FAILURE)",,,,2022-08-17 23:27:33,2022-08-17 23:27:35,2.738s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tv_username""]), ""00251612"", 0)",,,,2022-08-17 23:27:35,2022-08-17 23:27:43,7.327s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tv_password""]), ""P@ssw0rd"", 0)",,,,2022-08-17 23:27:43,2022-08-17 23:27:45,2.136s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_login""]), 0)",,,,2022-08-17 23:27:45,2022-08-17 23:27:46,1.234s,PASSED
"for ([i = 1, i <= 6, (i++)])",,,,2022-08-17 23:27:46,2022-08-17 23:28:17,31.473s,FAILED
,,,,,,,
Test Cases/01. Create Data Pemasaran,,,,2022-08-17 23:28:17,2022-08-17 23:28:50,32.614s,FAILED
"tap(findTestObject(""text"", [""text"":""Pemasaran""]), 0)",,,,2022-08-17 23:28:19,2022-08-17 23:28:50,31.531s,FAILED
