Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pemrakarsa,,,,2022-08-17 23:35:31,2022-08-17 23:38:57,3m - 25.761s,PASSED
,,,,,,,
Test Cases/00. Login,,,,2022-08-17 23:35:32,2022-08-17 23:36:21,48.975s,PASSED
try,,,,2022-08-17 23:35:33,2022-08-17 23:36:03,29.843s,PASSED
"callTestCase(findTestCase(""Test Cases/Create User Tester""), [:], STOP_ON_FAILURE)",,,,2022-08-17 23:36:03,2022-08-17 23:36:05,2.480s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tv_username""]), ""00251612"", 0)",,,,2022-08-17 23:36:05,2022-08-17 23:36:13,7.348s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tv_password""]), ""P@ssw0rd"", 0)",,,,2022-08-17 23:36:13,2022-08-17 23:36:15,2.129s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_login""]), 0)",,,,2022-08-17 23:36:15,2022-08-17 23:36:16,1.091s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/cBox""]), 0)",,,,2022-08-17 23:36:16,2022-08-17 23:36:20,4.181s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_yes""]), 0)",,,,2022-08-17 23:36:20,2022-08-17 23:36:21,0.795s,PASSED
,,,,,,,
Test Cases/01. Create Data Pemasaran,,,,2022-08-17 23:36:21,2022-08-17 23:38:57,2m - 36.033s,PASSED
"tap(findTestObject(""text"", [""text"":""Pemasaran""]), 0)",,,,2022-08-17 23:36:22,2022-08-17 23:36:26,3.971s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_tambah_data_cpp""]), 0)",,,,2022-08-17 23:36:26,2022-08-17 23:36:30,3.605s,PASSED
"tap(findTestObject(""text"", [""text"":""SME""]), 0)",,,,2022-08-17 23:36:30,2022-08-17 23:36:32,2.283s,PASSED
"tap(findTestObject(""text"", [""text"":""PRIBADI""]), 0)",,,,2022-08-17 23:36:32,2022-08-17 23:36:33,1.302s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_cam""]), 0)",,,,2022-08-17 23:36:33,2022-08-17 23:36:38,4.973s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tvItem1""]), 0)",,,,2022-08-17 23:36:38,2022-08-17 23:36:39,0.945s,PASSED
"tap(findTestObject(""id"", [""id"":""android:id/button1""]), 0)",,,,2022-08-17 23:36:39,2022-08-17 23:36:41,1.420s,PASSED
"tap(findTestObject(""text"", [""text"":""Shutter""]), 0)",,,,2022-08-17 23:36:41,2022-08-17 23:36:43,2.142s,PASSED
"tap(findTestObject(""id"", [""id"":""com.sec.android.app.camera:id/okay""]), 0)",,,,2022-08-17 23:36:43,2022-08-17 23:36:46,3.454s,PASSED
"scrollToText(""UBAH LOKASI"")",,,,2022-08-17 23:36:46,2022-08-17 23:36:52,5.203s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/change_loc""]), 0)",,,,2022-08-17 23:36:52,2022-08-17 23:36:52,0.651s,PASSED
"tap(findTestObject(""text"", [""text"":""OK""]), 0)",,,,2022-08-17 23:36:52,2022-08-17 23:36:56,3.872s,PASSED
"tap(findTestObject(""text"", [""text"":""OK""]), 0)",,,,2022-08-17 23:36:56,2022-08-17 23:36:57,1.243s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/buttonSet""]), 0)",,,,2022-08-17 23:36:57,2022-08-17 23:36:58,0.537s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/btn_next""]), 0)",,,,2022-08-17 23:36:58,2022-08-17 23:37:00,1.969s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/nik_cpp""]), ""1000200030004001"", 0)",,,,2022-08-17 23:37:00,2022-08-17 23:37:02,2.717s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/nama_cpp""]), ""PPND Katalon"", 0)",,,,2022-08-17 23:37:02,2022-08-17 23:37:04,1.989s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/radio_pria""]), 0)",,,,2022-08-17 23:37:04,2022-08-17 23:37:05,0.852s,PASSED
"tap(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/radio_single""]), 0)",,,,2022-08-17 23:37:05,2022-08-17 23:37:06,0.861s,PASSED
"setText(findTestObject(""id"", [""id"":""id.co.bri.brispotnew:id/tmp_lahir""]), ""Jakarta"", 0)",,,,2022-08-17 23:37:06,2022-08-17 23:37:08,2.010s,PASSED
